skill
python
java
c
c++
sql
mysql
postgresql
html
css
javascript
react
nodejs
spring boot
git
github
aws
azure
docker
etl
data analysis
data analytics
power bi
tableau
spark
pyspark
apache airflow
machine learning
deep learning
nlp
tensorflow
numpy
pandas
excel
statistics
dashboard
reporting
business intelligence
forecasting
